epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.922,1.28405,3.21867,1.26691,0.38139,0.34345,0.29655,0.19001,1.25165,2.69824,1.17733,0.000300595,0.000300595,0.000300595
2,273.94,1.29065,2.05362,1.25736,0.36485,0.41824,0.41848,0.27945,1.19232,2.31671,1.16958,0.00059762,0.00059762,0.00059762
3,404.296,1.26721,1.89816,1.23209,0.62589,0.53886,0.51921,0.31611,1.31117,2.31056,1.24573,0.000888645,0.000888645,0.000888645
4,529.516,1.2879,1.80183,1.24286,0.58072,0.62938,0.55113,0.35105,1.31119,1.91547,1.29722,0.000882003,0.000882003,0.000882003
5,626.744,1.26408,1.67658,1.23395,0.6166,0.49661,0.571,0.37669,1.21174,1.88117,1.19498,0.000873004,0.000873004,0.000873004
6,722.105,1.22964,1.61594,1.20643,0.78939,0.60944,0.64578,0.4264,1.18373,1.64063,1.18485,0.000864004,0.000864004,0.000864004
7,818.535,1.2025,1.50576,1.19915,0.68431,0.69825,0.64605,0.42305,1.24166,1.57862,1.20925,0.000855005,0.000855005,0.000855005
8,909.519,1.16494,1.4282,1.1748,0.73107,0.64013,0.67866,0.44207,1.2201,1.66765,1.15696,0.000846006,0.000846006,0.000846006
9,1005.26,1.16728,1.36402,1.16754,0.74927,0.54307,0.64568,0.43932,1.21782,1.65361,1.22126,0.000837007,0.000837007,0.000837007
10,1111.41,1.13645,1.30566,1.15885,0.74008,0.68392,0.72113,0.47894,1.23082,1.50536,1.20162,0.000828008,0.000828008,0.000828008
11,1221.69,1.12456,1.29805,1.16999,0.73587,0.72604,0.72743,0.51316,1.08169,1.4458,1.1362,0.000819009,0.000819009,0.000819009
12,1371.73,1.12125,1.23177,1.15966,0.82547,0.65677,0.74771,0.50614,1.17654,1.49384,1.15272,0.00081001,0.00081001,0.00081001
13,1510.91,1.10447,1.21798,1.13636,0.78535,0.72194,0.7596,0.52413,1.14495,1.3778,1.13205,0.000801011,0.000801011,0.000801011
